doc_id;item;category;amount;price;discount
WVFXLKD4BAKT44J4;Вешалка-плечики;Хранение и организация;3;1200;10
WVFXLKD4BAKT44J4;Мешок для пылесоса;Товары для уборки;5;350;0
WVFXLKD4BAKT44J4;Вешалка-плечики;Хранение и организация;1;1200;0
WVFXLKD4BAKT44J4;Салфетки из микрофибры;Товары для уборки;4;450;10
WVFXLKD4BAKT44J4;Мешок для пылесоса;Товары для уборки;1;350;0
FW8X1KOEUDKWFAIQ;Вешалка-плечики;Хранение и организация;5;1200;0
FW8X1KOEUDKWFAIQ;Электробритва;Мелкая бытовая техника;2;2900;0
FW8X1KOEUDKWFAIQ;Пятновыводитель;Бытовая химия;1;300;0
FW8X1KOEUDKWFAIQ;Блендер;Кухонные товары;3;2800;0
GND00UUFD45A47O7;Комплект постельного белья;Текстиль для дома;1;2800;0
GND00UUFD45A47O7;Вешалка-плечики;Хранение и организация;5;1200;10
GND00UUFD45A47O7;Стиральный порошок;Бытовая химия;2;600;10
GND00UUFD45A47O7;Лейка садовая;Сад и ремонт;4;600;0
1HCXZMMPB9XPN11H;Утюг с парогенератором;Мелкая бытовая техника;3;3700;0
1HCXZMMPB9XPN11H;Подставка для зубных щеток;Хранение и организация;4;400;0
1HCXZMMPB9XPN11H;Жидкость для мытья посуды;Бытовая химия;3;250;10
1HCXZMMPB9XPN11H;Сковорода-гриль;Кухонные товары;4;3200;0
1HCXZMMPB9XPN11H;Тостер;Кухонные товары;1;2100;0
YTLYEP38E19MN9NK;Пятновыводитель;Бытовая химия;5;300;0
YTLYEP38E19MN9NK;Швабра с отжимом;Товары для уборки;2;1100;10
YTLYEP38E19MN9NK;Фен;Мелкая бытовая техника;2;2100;0
YTLYEP38E19MN9NK;Подставка для зубных щеток;Хранение и организация;2;400;0
YTLYEP38E19MN9NK;Энергосберегающая лампочка;Освещение и электроприборы;2;300;10
YTLYEP38E19MN9NK;Коврик для ванной;Текстиль для дома;3;750;15
YTLYEP38E19MN9NK;Набор губок;Товары для уборки;2;200;0
YTLYEP38E19MN9NK;Средство для чистки сантехники;Бытовая химия;3;450;0
YTLYEP38E19MN9NK;Лейка садовая;Сад и ремонт;4;600;0
YTLYEP38E19MN9NK;Удлинитель;Сад и ремонт;1;850;0
0AY9NLU24RGQO6M6;Утюг с парогенератором;Мелкая бытовая техника;1;3700;0
0AY9NLU24RGQO6M6;Вешалка-плечики;Хранение и организация;1;1200;0
0AY9NLU24RGQO6M6;Освежитель воздуха;Бытовая химия;3;350;0
