doc_id;item;category;amount;price;discount
BS7A5Q4BHDOYB8P7;Блендер;Кухонные товары;4;2800;0
BS7A5Q4BHDOYB8P7;Электробритва;Мелкая бытовая техника;2;2900;10
BS7A5Q4BHDOYB8P7;Лейка садовая;Сад и ремонт;2;600;0
DJ4KIART7FVM4UTR;Тостер;Кухонные товары;1;2100;0
DJ4KIART7FVM4UTR;Настольная лампа;Освещение и электроприборы;3;1800;0
DJ4KIART7FVM4UTR;Салфетки из микрофибры;Товары для уборки;3;450;0
DJ4KIART7FVM4UTR;Энергосберегающая лампочка;Освещение и электроприборы;5;300;0
DJ4KIART7FVM4UTR;Набор губок;Товары для уборки;3;200;0
DJ4KIART7FVM4UTR;Энергосберегающая лампочка;Освещение и электроприборы;2;300;0
DJ4KIART7FVM4UTR;Энергосберегающая лампочка;Освещение и электроприборы;4;300;15
DJ4KIART7FVM4UTR;Лейка садовая;Сад и ремонт;5;600;0
DJ4KIART7FVM4UTR;Лейка садовая;Сад и ремонт;3;600;0
MBRZGE8MT6HWSBBN;Удлинитель;Сад и ремонт;2;850;0
MBRZGE8MT6HWSBBN;Подушка с эффектом памяти;Текстиль для дома;2;2200;0
MBRZGE8MT6HWSBBN;Электрочайник;Кухонные товары;5;1500;10
MBRZGE8MT6HWSBBN;Салфетки из микрофибры;Товары для уборки;2;450;0
MBRZGE8MT6HWSBBN;Набор контейнеров для сыпучих продуктов;Хранение и организация;4;1500;0
MKQ3PGV127N6PQXN;Плед флисовый;Текстиль для дома;4;1200;0
MKQ3PGV127N6PQXN;Коврик для ванной;Текстиль для дома;2;750;0
MKQ3PGV127N6PQXN;Стиральный порошок;Бытовая химия;4;600;0
MKQ3PGV127N6PQXN;Освежитель воздуха;Бытовая химия;4;350;10
MKQ3PGV127N6PQXN;Пылесос;Мелкая бытовая техника;5;5200;0
MKQ3PGV127N6PQXN;Утюг с парогенератором;Мелкая бытовая техника;3;3700;0
T2GP5ECQDZUE22KH;Подставка для зубных щеток;Хранение и организация;2;400;0
T2GP5ECQDZUE22KH;Жидкость для мытья посуды;Бытовая химия;2;250;10
T2GP5ECQDZUE22KH;Разделочная доска;Кухонные товары;4;800;10
T2GP5ECQDZUE22KH;Перчатки рабочие;Сад и ремонт;5;350;0
T2GP5ECQDZUE22KH;Настольная лампа;Освещение и электроприборы;4;1800;0
T2GP5ECQDZUE22KH;Набор кухонных ножей;Кухонные товары;4;3800;10
T2GP5ECQDZUE22KH;Салфетки из микрофибры;Товары для уборки;5;450;0
T2GP5ECQDZUE22KH;Ночник;Освещение и электроприборы;5;550;0
T2GP5ECQDZUE22KH;Жидкость для мытья посуды;Бытовая химия;4;250;0
T2GP5ECQDZUE22KH;LED-лента;Освещение и электроприборы;2;950;0
