doc_id;item;category;amount;price;discount
N3ELSGFKUMU12BNB;Подушка с эффектом памяти;Текстиль для дома;5;2200;0
N3ELSGFKUMU12BNB;Салфетки из микрофибры;Товары для уборки;5;450;0
N3ELSGFKUMU12BNB;Перчатки рабочие;Сад и ремонт;2;350;0
1QYOE29J669PI8VG;Фен;Мелкая бытовая техника;4;2100;10
1QYOE29J669PI8VG;Удлинитель;Сад и ремонт;3;850;0
1QYOE29J669PI8VG;LED-лента;Освещение и электроприборы;3;950;10
1QYOE29J669PI8VG;Миксер;Кухонные товары;2;1900;0
1QYOE29J669PI8VG;Салфетки из микрофибры;Товары для уборки;5;450;0
1QYOE29J669PI8VG;Перчатки рабочие;Сад и ремонт;4;350;0
1QYOE29J669PI8VG;Органайзер для белья;Хранение и организация;5;900;0
1QYOE29J669PI8VG;Электробритва;Мелкая бытовая техника;1;2900;0
1QYOE29J669PI8VG;Освежитель воздуха;Бытовая химия;5;350;0
7OJMTZYSSSIQJ1W7;Пятновыводитель;Бытовая химия;3;300;0
7OJMTZYSSSIQJ1W7;Одеяло зимнее;Текстиль для дома;2;3500;0
7OJMTZYSSSIQJ1W7;Набор инструментов;Сад и ремонт;1;2800;0
