doc_id;item;category;amount;price;discount
11GJMXBUL7AXCNV3;Освежитель воздуха;Бытовая химия;3;350;0
11GJMXBUL7AXCNV3;Средство для чистки сантехники;Бытовая химия;2;450;15
11GJMXBUL7AXCNV3;Набор инструментов;Сад и ремонт;2;2800;10
11GJMXBUL7AXCNV3;Фен;Мелкая бытовая техника;2;2100;0
11GJMXBUL7AXCNV3;Набор контейнеров для сыпучих продуктов;Хранение и организация;4;1500;0
11GJMXBUL7AXCNV3;Энергосберегающая лампочка;Освещение и электроприборы;3;300;0
11GJMXBUL7AXCNV3;Энергосберегающая лампочка;Освещение и электроприборы;2;300;0
11GJMXBUL7AXCNV3;Салфетки из микрофибры;Товары для уборки;3;450;0
8K9GW5X5SOFROHMD;Лейка садовая;Сад и ремонт;2;600;0
8K9GW5X5SOFROHMD;LED-лента;Освещение и электроприборы;4;950;10
8K9GW5X5SOFROHMD;Лейка садовая;Сад и ремонт;5;600;0
8K9GW5X5SOFROHMD;Электрочайник;Кухонные товары;3;1500;0
8K9GW5X5SOFROHMD;Ночник;Освещение и электроприборы;4;550;0
8K9GW5X5SOFROHMD;Мешок для пылесоса;Товары для уборки;5;350;0
8K9GW5X5SOFROHMD;Полотенце банное;Текстиль для дома;2;900;0
8K9GW5X5SOFROHMD;Тостер;Кухонные товары;2;2100;0
8K9GW5X5SOFROHMD;Перчатки рабочие;Сад и ремонт;4;350;0
8K9GW5X5SOFROHMD;LED-лента;Освещение и электроприборы;1;950;10
1GFFN1KX8VIOHNIO;Ночник;Освещение и электроприборы;3;550;0
1GFFN1KX8VIOHNIO;Пятновыводитель;Бытовая химия;5;300;0
1GFFN1KX8VIOHNIO;Ночник;Освещение и электроприборы;5;550;0
1GFFN1KX8VIOHNIO;Сковорода-гриль;Кухонные товары;3;3200;0
1GFFN1KX8VIOHNIO;Корзина для мусора;Хранение и организация;5;800;0
1GFFN1KX8VIOHNIO;Подставка для зубных щеток;Хранение и организация;2;400;0
1GFFN1KX8VIOHNIO;Набор инструментов;Сад и ремонт;5;2800;0
1GFFN1KX8VIOHNIO;Удлинитель;Сад и ремонт;5;850;0
1GFFN1KX8VIOHNIO;Мешок для пылесоса;Товары для уборки;3;350;0
1GFFN1KX8VIOHNIO;Пятновыводитель;Бытовая химия;3;300;0
C60P2ZJL1BYGL23A;Органайзер для белья;Хранение и организация;3;900;0
C60P2ZJL1BYGL23A;Одеяло зимнее;Текстиль для дома;4;3500;0
C60P2ZJL1BYGL23A;Электробритва;Мелкая бытовая техника;1;2900;0
C60P2ZJL1BYGL23A;Электробритва;Мелкая бытовая техника;3;2900;10
C60P2ZJL1BYGL23A;Фен;Мелкая бытовая техника;2;2100;0
C60P2ZJL1BYGL23A;Подставка для зубных щеток;Хранение и организация;2;400;10
ZKLM6IW734L6LABQ;Набор губок;Товары для уборки;5;200;0
ZKLM6IW734L6LABQ;Фен;Мелкая бытовая техника;2;2100;10
ZKLM6IW734L6LABQ;Одеяло зимнее;Текстиль для дома;3;3500;10
ZKLM6IW734L6LABQ;Корзина для мусора;Хранение и организация;4;800;0
ZKLM6IW734L6LABQ;Ночник;Освещение и электроприборы;4;550;10
ZKLM6IW734L6LABQ;Салфетки из микрофибры;Товары для уборки;3;450;0
ZKLM6IW734L6LABQ;Миксер;Кухонные товары;5;1900;0
ZKLM6IW734L6LABQ;Салфетки из микрофибры;Товары для уборки;3;450;0
ZKLM6IW734L6LABQ;Органайзер для белья;Хранение и организация;1;900;0
ZKLM6IW734L6LABQ;Освежитель воздуха;Бытовая химия;2;350;0
DB67U5HVMMPRUVZB;Набор контейнеров для сыпучих продуктов;Хранение и организация;4;1500;0
DB67U5HVMMPRUVZB;Перчатки рабочие;Сад и ремонт;2;350;0
DB67U5HVMMPRUVZB;Энергосберегающая лампочка;Освещение и электроприборы;1;300;0
DB67U5HVMMPRUVZB;Миксер;Кухонные товары;1;1900;0
DB67U5HVMMPRUVZB;Одеяло зимнее;Текстиль для дома;2;3500;0
DB67U5HVMMPRUVZB;Жидкость для мытья посуды;Бытовая химия;5;250;0
C515JU2V0J0GUSLZ;Подставка для зубных щеток;Хранение и организация;4;400;0
C515JU2V0J0GUSLZ;Освежитель воздуха;Бытовая химия;4;350;0
C515JU2V0J0GUSLZ;Полотенце банное;Текстиль для дома;3;900;10
C515JU2V0J0GUSLZ;Набор контейнеров для сыпучих продуктов;Хранение и организация;2;1500;0
C515JU2V0J0GUSLZ;Энергосберегающая лампочка;Освещение и электроприборы;2;300;15
C515JU2V0J0GUSLZ;Электробритва;Мелкая бытовая техника;2;2900;0
NBMRNPG82XOGTWQQ;Электрочайник;Кухонные товары;4;1500;0
NBMRNPG82XOGTWQQ;Одеяло зимнее;Текстиль для дома;4;3500;0
NBMRNPG82XOGTWQQ;Ночник;Освещение и электроприборы;3;550;0
NBMRNPG82XOGTWQQ;Комплект постельного белья;Текстиль для дома;3;2800;0
NBMRNPG82XOGTWQQ;Подушка с эффектом памяти;Текстиль для дома;2;2200;10
NBMRNPG82XOGTWQQ;Набор контейнеров для сыпучих продуктов;Хранение и организация;2;1500;10
NBMRNPG82XOGTWQQ;Лейка садовая;Сад и ремонт;3;600;0
NBMRNPG82XOGTWQQ;Вешалка-плечики;Хранение и организация;1;1200;15
