doc_id;item;category;amount;price;discount
MI5YQHBHF2VLDIFY;Электрочайник;Кухонные товары;3;1500;10
MI5YQHBHF2VLDIFY;Перчатки рабочие;Сад и ремонт;4;350;0
MI5YQHBHF2VLDIFY;Освежитель воздуха;Бытовая химия;2;350;0
IVI8J5A233NBJEZL;Вешалка-плечики;Хранение и организация;5;1200;0
IVI8J5A233NBJEZL;Лейка садовая;Сад и ремонт;3;600;0
IVI8J5A233NBJEZL;Набор кастрюль;Кухонные товары;1;4500;10
IVI8J5A233NBJEZL;Подушка с эффектом памяти;Текстиль для дома;1;2200;0
IVI8J5A233NBJEZL;Утюг с парогенератором;Мелкая бытовая техника;4;3700;0
IVI8J5A233NBJEZL;Одеяло зимнее;Текстиль для дома;2;3500;0
IVI8J5A233NBJEZL;Электробритва;Мелкая бытовая техника;5;2900;10
IVI8J5A233NBJEZL;Настольная лампа;Освещение и электроприборы;4;1800;0
IVI8J5A233NBJEZL;Тостер;Кухонные товары;4;2100;0
M47EJ9KIDWCYDFMD;Удлинитель;Сад и ремонт;4;850;0
M47EJ9KIDWCYDFMD;Освежитель воздуха;Бытовая химия;2;350;0
M47EJ9KIDWCYDFMD;Органайзер для белья;Хранение и организация;4;900;0
M47EJ9KIDWCYDFMD;Набор губок;Товары для уборки;3;200;0
CKMS6CCN9WA0XXX7;Стиральный порошок;Бытовая химия;3;600;0
CKMS6CCN9WA0XXX7;Швабра с отжимом;Товары для уборки;4;1100;0
CKMS6CCN9WA0XXX7;Набор инструментов;Сад и ремонт;4;2800;0
CKMS6CCN9WA0XXX7;Плед флисовый;Текстиль для дома;2;1200;10
CKMS6CCN9WA0XXX7;Швабра с отжимом;Товары для уборки;3;1100;10
CKMS6CCN9WA0XXX7;Полотенце банное;Текстиль для дома;4;900;0
2S1LX6ETOEWE5MW6;Вешалка-плечики;Хранение и организация;2;1200;0
2S1LX6ETOEWE5MW6;Удлинитель;Сад и ремонт;3;850;10
2S1LX6ETOEWE5MW6;Швабра с отжимом;Товары для уборки;5;1100;0
2S1LX6ETOEWE5MW6;Комплект постельного белья;Текстиль для дома;3;2800;0
2S1LX6ETOEWE5MW6;Вешалка-плечики;Хранение и организация;2;1200;0
2S1LX6ETOEWE5MW6;Ночник;Освещение и электроприборы;3;550;10
