doc_id;item;category;amount;price;discount
ISAX4I5LMY13077B;Подставка для зубных щеток;Хранение и организация;4;400;0
ISAX4I5LMY13077B;Органайзер для белья;Хранение и организация;4;900;10
ISAX4I5LMY13077B;Мешок для пылесоса;Товары для уборки;2;350;0
ISAX4I5LMY13077B;Швабра с отжимом;Товары для уборки;1;1100;0
ISAX4I5LMY13077B;Подставка для зубных щеток;Хранение и организация;2;400;0
F0FQ5SR3KV8MJMBL;Комплект постельного белья;Текстиль для дома;1;2800;0
F0FQ5SR3KV8MJMBL;Пылесос;Мелкая бытовая техника;1;5200;0
F0FQ5SR3KV8MJMBL;Мешок для пылесоса;Товары для уборки;5;350;0
F0FQ5SR3KV8MJMBL;Набор контейнеров для сыпучих продуктов;Хранение и организация;2;1500;10
F0FQ5SR3KV8MJMBL;Корзина для мусора;Хранение и организация;1;800;0
F0FQ5SR3KV8MJMBL;Плед флисовый;Текстиль для дома;5;1200;10
F0FQ5SR3KV8MJMBL;Ночник;Освещение и электроприборы;1;550;10
MJMFJEA09VEKIKNG;Мешок для пылесоса;Товары для уборки;1;350;0
MJMFJEA09VEKIKNG;Утюг с парогенератором;Мелкая бытовая техника;4;3700;10
MJMFJEA09VEKIKNG;Перчатки рабочие;Сад и ремонт;5;350;0
MJMFJEA09VEKIKNG;Тостер;Кухонные товары;1;2100;0
MJMFJEA09VEKIKNG;Швабра с отжимом;Товары для уборки;5;1100;0
MJMFJEA09VEKIKNG;Энергосберегающая лампочка;Освещение и электроприборы;5;300;10
MJMFJEA09VEKIKNG;Вешалка-плечики;Хранение и организация;1;1200;0
MJMFJEA09VEKIKNG;Удлинитель;Сад и ремонт;1;850;0
QBVTEELN36UXIBSG;Набор кастрюль;Кухонные товары;3;4500;0
QBVTEELN36UXIBSG;Освежитель воздуха;Бытовая химия;2;350;0
QBVTEELN36UXIBSG;Удлинитель;Сад и ремонт;1;850;10
QBVTEELN36UXIBSG;Салфетки из микрофибры;Товары для уборки;5;450;0
